Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2015_exists,2016_exists,2017_exists,2018_exists,2019_exists,2020_exists,2021_exists,2022_exists,2023_exists,2024_exists,2025_exists,Number of changes,Frequent changer
Majestic Point Community Association,,,,,,,,,,vintage group,vintage group,,,,,,,,,,1.0,1.0,1,False
Majestic Point South Community Association,,,,,,,,,,,vintage group,,,,,,,,,,,1.0,1,False
Majestic Ranch Estates Ii Homeowners Association,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Majestic Ranch Estates Owners Association,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Malibu Community Association,,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Malibu Pointe Homeowners Association,,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mallard Crossing Community Association,,,,,,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Manchester At Huntington Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,seabreeze management,seabreeze management,seabreeze management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Manchester At Westlake Association,associated community management,path community management,kallfelz team association management,kallfelz team association management,hoa management,hoa management,hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Manchester Park Homeowners Association,ideal community management,ideal community management,,ideal community management,ideal community management,ideal community management,associa,associa,associa,associa,associa,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mandolin Homeowners Association,las vega valley community management,las vega valley community management,,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Manhattan Homeowners' Association,firstservice residential nevada,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mannetta Lane Owners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,regal property management,desert community management,desert community management,desert community management,integrity based management,integrity based management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Manor At Aliante Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,camco,the management trust,the management trust,the management trust,the management trust,the management trust,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Manorwood @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mantova Community Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,,,las vega community management group,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Manzanita Homeowners' Association,associa,associa,associa,associa,associa,associa,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2,True
Maplewood Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Maplewood Ii Landscape Maintenance Association,shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,shannon day property management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Maplewood Springs Homeowners Association,hoa management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mar-A-Lago Homeowners Association,level property management,level property management,,level property management,level property management,,level property management,associa,associa,associa,firstservice residential nevada,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6,True
Marama Homeowners Association,,,,,,,,,new edge living,associa,associa,,,,,,,,,1.0,1.0,1.0,2,True
Maravilla At Mountain'S Edge Homeowners Association,capital consultant management,capital consultant management,,capital consultant management,camco,camco,camco,camco,camco,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Maravilla Homeowners Association,community management group,community management group,community management group,community management group,community management group,epic association management,epic association management,varalino community management,varalino community management,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Marbella At Lake Las Vegas Homeowners Association,,,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,,,1.0,1.0,1.0,1,False
Marbella Community Association,thoroughbred management,thoroughbred management,thoroughbred management,las vega valley community management,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marbella Homeowners Association,desert hoa management,first columbia community management,,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Marble Canyon @ Summerlin North,summerlin community management,summerlin community management,,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,summerlin community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marble Canyon Estates Homeowners Association,nevada finest propertie,nevada finest propertie,nevada finest propertie,the management trust,the management trust,the management trust,the management trust,first columbia community management,first columbia community management,first columbia community management,first columbia community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marble Canyon Homeowners' Association,camco,camco,,camco,camco,camco,camco,camco,camco,camco,camco,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marble Mesa At Lake Las Vegas Homeowners Association,,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
"Marie Antoinette Homeowners Association, Inc",regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,regal property management,pinnacle community association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Marina Cove Homeowners Association,,,,,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Marina Village Commercial Property Owners' Association,gaston wilkerson association service,gaston wilkerson association service,,,,,,,,,,1.0,1.0,,,,,,,,,,1,False
Marina Village Homeowners' Subassociation,gaston wilkerson association service,gaston wilkerson association service,,,,,,,,,,1.0,1.0,,,,,,,,,,1,False
Marina Village Master Association,gaston wilkerson association service,gaston wilkerson association service,,,,,,,,,,1.0,1.0,,,,,,,,,,1,False
Mariposa @ Summerlin West Community Association,howard hughe,howard hughe,,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,howard hughe,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mariposa Community Association Inc,hoa management,hoa management,kallfelz team association management,kallfelz team association management,kallfelz team association management,hoa management,hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Mariposa Place Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Marquesa Homeowners Association,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,pinnacle community association management,associa,associa,pinnacle community association management,pinnacle community association management,pinnacle community association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marquis Homeowners' Association,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,terra west management service,terra west management service,terra west management service,terra west management service,real propertie management group,real propertie management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Marquis Manor Homeowners Association,,,firstservice residential nevada,firstservice residential nevada,terra west management service,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Marycrest Manor Homeowners Association,associa,associa,associa,associa,associa,associa,associa,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Maryland Haciendas Homeowners Association Inc.,the property group,the property group,the property group,the property group,the property group,the property group,the property group,the property group,the property group,the property group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Maryland Heights Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Maryland Pebble At Silverado Homeowners Association,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,eugene burger management,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Maryland Twilight Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Master Series At The Legacy Community Association, The",colonial property management,colonial property management,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Masters Collection Homeowners Association, The",olympia management service,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,olympia management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mateo Community Association,,associa,associa,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,seabreeze management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Maverick Estates Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mayberry Townhomes Homeowners' Association,,,,,reno property management,reno property management,pmi reno,western nevada management,western nevada management,western nevada management,western nevada management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mayberry Villas Homeowners Association,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,equu management group,equu management group,equu management group,equu management group,equu management group,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Mayfield Estates Landscape Maintenance Association, Inc.",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Mcauley Homeowners Association,,,,,,,,prime community management,prime community management,prime community management,prime community management,,,,,,,,1.0,1.0,1.0,1.0,1,False
"Meadow Creek East Landscape Maintenance Association, Inc.",nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meadow Creek Village Townhouse Homeowner,associa,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson management group,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
"Meadow Creek West Landscape Maintenance Association, Inc.",firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meadow Ridge Community Association,,neighborhood association group,neighborhood association group,neighborhood association group,firstservice residential nevada,epic association management,epic association management,epic association management,epic association management,epic association management,epic association management,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Meadow Ridge I Landscape Maintenance Association,ideal community management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Meadow Ridge Ii Homeowners Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meadow Springs Landscape Maintenance Association,firstservice residential nevada,firstservice residential nevada,opu 1 community management,opu 1 community management,opu 1 community management,opu 1 community management,opu 1 community management,the management trust,the management trust,the management trust,the management trust,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meadowbrook Community Association,,,,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,,,,,,,1.0,1.0,1.0,1.0,1.0,1,False
Meadowbrook Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meadowridge Association Inc,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,camco,equu management group,equu management group,equu management group,equu management group,equu management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meadows At Elkhorn Springs Homeowners Association,prime community management,las vega valley community management,las vega valley community management,las vega valley community management,las vega valley community management,nevada community management,nevada community management,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Meadows Community Association, The",,,,,,wedge 78,terra west management service,terra west management service,terra west management service,terra west management service,the management trust,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Meadows Homeowners Association, The",terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
"Meadows Homeowners Association. , The",valley realty and management,valley realty and management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,anchor management and consulting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meadowstar Homeowners Association,,,,,,eugene burger management,eugene burger management,eugene burger management,eugene burger management,associa,associa,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meadowview Terrace Townhouse Association,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,western nevada management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meister Park Homeowners Association,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meister Park North Homeowners Association,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Melrose Park Homeowners Association,ellectic property,ellectic property management,ellectic property management,ellectic property management,ellectic property management,ellectic property management,ellectic property management,ellectic property management,varalino community management,varalino community management,varalino community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meraki Place Homeowners Association,,,,,,,eugene burger management,eugene burger management,eugene burger management,associa,associa,,,,,,,1.0,1.0,1.0,1.0,1.0,2,True
Meranto Ranch Homeowners Association,,,,,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Meranto Ranch Ii Homeowners Association,,,,,,,,,,,thoroughbred management,,,,,,,,,,1.0,1.0,1,False
Meridian 120 Community Association,,,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,the management trust,the management trust,the management trust,the management trust,the management trust,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Meridian Hills Association,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meridian Homeowners' Association,,camco,camco,camco,camco,camco,camco,camco,colonial property management,colonial property management,colonial community management,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Meridian Owners Association,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,the property group,the property group,the property group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Meridian Park 5 Community Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Meridian Private Residences Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Mesa And Valla At Mountains Edge Homeowners Association,capital consultant management,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mesa Canyon Homeowners Association,terra west management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,nicklin community management service,crossover association management,crossover association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Mesa Hills At Highland Vistas Owners Association, Inc.",colonial property management,colonial property management,,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mesa Homeowners Association,associa,associa,associa,associa,associa,associa,taylor association management,taylor association management,taylor association management,taylor association management,taylor association management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mesa Ridge Community Association,,,,,toll south lv,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,seabreeze management,seabreeze management,camco,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Mesa Ridge Homeowners Association,community management sale,community management sale,community management sale,community management sale,community management sale,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,real propertie management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mesa Townhomes Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mesa Verde By Richmond Homeowners Association,associated community management,path community management,path community management,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,nevada finest propertie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mesa Verde Community Association,camco,camco,camco,camco,camco,camco,camco,camco,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mesa Verde Homeowners Association,terra west management service,associated community management,terra west management service,terra west management service,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mesquite Estates Master Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mesquite Mesa Owners Association,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mesquite Vistas Community Association,terra west management service,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial property management,colonial community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Metropolis Homeowners Association,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,westward360,firstservice residential nevada,firstservice residential nevada,terra west management service,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
"Mews Homeowner Association, The",performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,camco,camco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Midnight Ridge Homeowners' Association,,,,,,camco,camco,camco,camco,real propertie management group,real propertie management group,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Midtown Modern Homeowners' Association,,,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,real propertie management group,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
"Mil Drae Country Estates, Inc",,,,,,,leach kern gruchow anderson song,,leach kern gruchow anderson song,leach kern gruchow anderson song,leach kern gruchow anderson song,,,,,,,1.0,1.0,1.0,1.0,1.0,3,True
Mill Creek Estates Homeowners Association,new valley real estate management,new valley real estate management,new valley real estate management,new valley real estate management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Millcreek Homeowners Association,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,associa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
"Millennium Homeowners Association, Inc., The",community association management,community association management,community association management,community association management,community association management,camco,community association management,camco,camco,camco,anchor management and consulting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,True
Millpond Townhomes Homeowners Association,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,ideal community management,nevada community management,nevada community management,nevada community management,nevada community management,nevada community management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mills Landing Town House Owners Association,,,,,camco,camco,camco,camco,camco,camco,anchor management and consulting,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Millstream Homeowners Association,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,performance cam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Minden Townhomes Homeowners Association,valley realty and management,valley realty and management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,incline property management,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Miners Village Homeowners Association,terra west management service,terra west management service,,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mira & Rigel Pointe Homeowners Association,,,,,camco,camco,camco,camco,seabreeze management,seabreeze management,seabreeze management,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,True
Mira Homeowners Association,,,,,,the management trust,the management trust,the management trust,the management trust,the management trust,the management trust,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,False
Mira Villa Homeowners Association,firstservice residential nevada,firstservice residential nevada,,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,seabreeze management,seabreeze management,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,True
Mira Vista Community Homeowners Association,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,community management group,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,False
Mira Vista Homeowners Association,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,terra west management service,firstservice residential nevada,firstservice residential nevada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,False
